Course Title,Qualification Level,entry_requirements,description
Dance Movement Therapy,Diploma,Year 12 or equivalent; 18 years and over; proof of proficiency in English,"This course is designed to equip students with the knowledge and skills required to practice dance movement therapy. It provides a basic level of training for work in the field of counselling and psychotherapy, utilising dance movement therapy as the primary means of engaging with diverse client groups. Students develop skills and knowledge in counselling and dance movement therapy theory and practice, and develop capacity to communicate using a range of dance movement-based therapeutic techniques."
Continence Promotion and Care,Certificate II,No minimum education,"This course has been developed in partnership between the Continence Foundation of Australia Limited (CFA) and The Benchmarque Group Pty Limited. It is particularly relevant to Registered Nurses (Div 1), Enrolled Nurses (Div 2), Personal Care Attendants (PCA), paid carers, nursing assistants, staff involved in aged care and Indigenous Health Care Workers."
Christian Ministry and Theology,Certificate IV,No minimum education,"This course offers students a foundation in Christian ministry and theology. It will equip lay people for ministry and leadership in the local church or workplace, as well as enhance personal growth."
Christian Ministry and Theology,Diploma,Certificate IV in Christian Ministry and Theology,"This course develops students' foundation skills in Christian ministry and theology. It is designed to equip students for mission placement, church planting, ministry in the local church and growth as a disciple of Jesus Christ. Students can expect to graduate from this course with a thorough knowledge of the Bible and valuable practical skills for ministry both formally and informally."
Engineering Technology,Advanced Diploma,"Relevant Certificate II, III or IV","This course aims to equip students with the skills to: recall and apply engineering and scientific principles in designing mechanical, civil and manufacturing engineering applications based on a well founded specialist knowledge domain; analyse, diagnose, design and execute judgments with respect to mechanical, civil construction and manufacturing solutions that have a basis in engineering technology; and integrate and solve interfacing problems between disparate technical or engineering systems."
Engineering Technology,Diploma,"Relevant Certificate II, III or IV","This course aims to equip students with the skills to implement and utilise engineering solutions in mechanical, civil and manufacturing engineering applications requiring substantial theoretical concepts; analyse, diagnose and plan with respect to mechanical, civil construction and manufacturing engineering solutions that have a basis in engineering technology; and use complex technical information and concepts to plan and implement solutions for a range of engineering environments and contexts."
Leadership Coaching and Mentoring,Diploma,No minimum education,"This course is designed to train students to increase their own awareness and awareness of others. It progresses on how to have more impact on teams, organisations and the world. It combines the key foundations of leadership into the one program."
General Education for Adults (Introductory),Certificate I,No minimum education,"This course focuses on the development of literacy skills to create and interpret simple, personally relevant texts and mathematical knowledge to apply numeracy skills in everyday familiar situations. Skills and knowledge are applied to develop and document a learning plan, prepare a portfolio to evidence learning and engage in a project. The language, literacy and numeracy outcomes of this qualification align to Level 2 of the Australian Core Skills Framework."
General Education for Adults,Certificate I,No minimum education,"This course focuses on the development of literacy skills to create and interpret simple, personally relevant texts and mathematical knowledge to apply numeracy skills in everyday familiar situations. Skills and knowledge are applied to develop and document a learning plan, prepare a portfolio to evidence learning and engage in a project. The language, literacy and numeracy outcomes of this qualification align to Level 3 of the Australian Core Skills Framework."
General Education for Adults,Certificate II,No minimum education,"This course focuses on the development of literacy skills to read, interpret, evaluate and create a range of texts and to apply knowledge of everyday and formal numeracy in a range of contexts. Outcomes also focus on the skills and knowledge to conduct a project and to investigate pathways and develop, implement and review a learning plan. The language, literacy and numeracy outcomes of this course align to Level 4 of the Australian Core Skills Framework."
General Education for Adults,Certificate III,No minimum education,"This course focuses on the development of literacy skills to read, interpret, critically analyse and create complex texts and to perform a range of complex mathematical tasks. The Certificate III also includes the ability to research a range of pathway options and identify and progress toward personal goals. The language, literacy and numeracy outcomes of this qualification align to Level 5 of the Australian Core Skills Framework."
Equine Studies,Certificate II,"No minimum education. A moderate level of physical stamina, strength, agility and coordination is required to meet the physical demands placed on individuals who handle horses and undertake stable management duties and is designed to ensure their safety, the safety of others and the safety of the horses in their care.","This course aims to provide participants with access to direct employment opportunities in the equine or equine related industries, principally as stable or stud hand or as an assistant. It also aims to provide articulation opportunities into further vocational courses, TAFE level training courses and a confirmation of skills and aptitudes necessary to enter a range of higher education degrees, for example veterinary science, agriculture and specialist equine degrees."
Small Business (Operations/Innovation),Certificate II,Year 10,"This course will enable graduates to meet the current and future industry requirements to work effectively within small business contexts across a range of industry sectors with the skills, knowledge and attributes to: support safe and sustainable small business operations; support the daily financial management of small business operations; demonstrate elementary professional skills and approaches to engage in small business contexts; apply effective communication, creative thinking and problem solving techniques to underpin co-operative relationships between stakeholders within a small business context; and support the implementation and review of innovation and change within a small business context."
Myotherapy,Advanced Diploma,Diploma of Remedial Massage,"This course will enable qualified remedial massage therapists to practise as myotherapists in their own practice, or as members of a health clinic."
EAL (Access),Certificate I,No minimum education,"This course enables the development of English language speaking, listening, reading and writing skills directly related to immediate personal and social needs together with electives selected to develop relevant social, settlement and numeracy skills and knowledge."
EAL (Access),Certificate II,No minimum education,"This course enables the development of English language speaking, listening, reading and writing skills for simple everyday communication and community participation and to enable participants to move into further English language education or vocational training or a combination of both, or employment."
EAL (Employment),Certificate II,No minimum education,"This course enables the development of English language speaking, listening, reading and writing skills and knowledge in the context of the Australian workplace. The qualification includes outcomes focusing on preparation for employment, employability skills, literacy skills including digital literacy skills, and awareness of basic workplace safety and work culture in the Australian context."
EAL (Access),Certificate III,No minimum education,"This course enables the consolidation of English language speaking, listening, reading and writing skills so that learners can access a range of further and vocational education options which may require some specialisation."
EAL (Employment),Certificate III,No minimum education,"This course enables the development of English language speaking, listening, reading and writing skills and knowledge in the context of the Australian workplace. The qualification includes outcomes focusing on preparation for employment, employability skills, literacy skills including digital literacy skills, and awareness of basic workplace safety and work culture in the Australian context."
EAL (Further Study),Certificate III,No minimum education,"This course enables the consolidation of English speaking and listening, reading, writing and study skills to participate in a range of Australian further study contexts. Outcomes include literacy skills including digital literacy skills and cultural and critical knowledge and skills together with knowledge and skills to access further education pathways."
EAL (Access),Certificate IV,No minimum education,"This course enables the consolidation of advanced English language speaking and listening, reading and writing skills to access a range of community options. Outcomes include a range of complex communication skills and knowledge in English, literacy skills including digital literacy skills to enable effective community participation, including in leadership roles."
EAL (Employment / Professional),Certificate IV,No minimum education,"This course enables the development of high level speaking and listening, reading and writing skills in English, and literacy skills including digital literacy skills for skilled, qualified and experienced workers and for those seeking to access employment in specialised fields."
EAL (Further Study),Certificate IV,No minimum education,"This course enables the consolidation of advanced level English speaking and listening, reading, writing, literacy skills including digital literacy skills, and study skills in English to access further study pathways including into higher education. The aim of qualification is to develop communication and research skills and knowledge at a complex level together with knowledge of the Australian education system."
Applied Horticultural Science,Diploma,Year 12 or equivalent; relevant industry knowledge or relevant vocational employment,This course provides individuals with the high-level technical skills and knowledge required to work in horticultural enterprises. The enterprises in which participants may seek employment include: local government; landscape companies; garden maintenance companies; historic gardens; botanic gardens and institutions.
Viticulture,Diploma,"There are no formal entry requirements, however, the qualification assumes that a learner has current or past work experience.","This qualification is part of the Agriculture, Horticulture and Conservation and Land Management Training Package. It is designed to meet the needs of managers in the viticulture industry."
Human Resources,Certificate IV,Certificate III in Business or equivalent; or relevant vocational experience,"This qualification is part of the Business Services Training Package. It reflects the role of individuals who work in a range of support positions in human resources management. In smaller companies they may work across all human resources functional areas and in larger companies they may be assigned responsibilities in units or business areas focused on discrete human resources functions, such as remuneration, workforce planning or human resources information systems."
Project Management Practice,Certificate IV,Certificate III in Business or other relevant qualification; or project-based vocational experience,This qualification is part of the Business Services Training Package. It reflects the role of individuals who identify and apply project management skills and knowledge in a wide variety of contexts. They may be members of a project team but with no direct responsibility for the overall project outcomes. They support project operations in one or more roles and under direction may also use project tools and methodologies selectively to support organisational or business activities. They take responsibility for their own outputs in terms of organisational and project quality requirements and may have limited responsibility for the output of others.
Human Resources Management,Diploma,No minimum education,This qualification is part of the Business Services Training Package. It reflects the role of individuals who possess a sound theoretical knowledge base in human resources management and demonstrate a range of managerial skills to ensure human resources functions are effectively conducted in an organisation or business area. Typically they would have responsibility for the work of other staff.
Project Management,Diploma,Certificate IV in Project Management Practice or relevant vocational experience,"This qualification is part of the Business Services Training Package. It reflects the role of individuals who apply project management skills and knowledge. They may manage projects in a variety of contexts, across a number of industry sectors. They have project leadership and management roles and are responsible for achieving project objectives. They possess a sound theoretical knowledge base and use a range of specialised, technical and managerial competencies to initiate, plan, execute and evaluate their own work and/or the work of others."
Early Childhood Education and Care,Certificate III,No minimum education,"This qualification is part of the Community Services Training Package. It reflects the role of workers in a range of early childhood education settings who work within the requirements of the Education and Care Services National Regulations and the National Quality Standard. They support the implementation of an approved learning framework, and support children's wellbeing, learning and development. Depending on the setting, educators may work under direct supervision or autonomously."
Education Support,Certificate III,No minimum education,"This qualification is part of the Community Services Training Package. It reflects the role of workers in a range of education settings, including public and independent schools and community education settings, who provide assistance and support to teachers and students under broad-based supervision."
School Age Education and Care,Certificate IV,No minimum education,This qualification is part of the Community Services Training Package. It reflects the role of educators who work with school age children in outside school hours care and vacation programs. In doing so they support the implementation of an approved learning framework. They may work under direct supervision or autonomously. They may have responsibility for supervision of volunteers or other staff.
Education Support,Certificate IV,No minimum education,"This qualification is part of the Community Services Training Package. It reflects the role of workers in a range of education settings, including public and independent schools and community education settings, who provide assistance and support to teachers and students under broad-based supervision."
Youth Work,Certificate IV,No minimum education,"This qualification is part of the Community Services Training Package. It reflects the role of workers who develop and facilitate programs for young people through a range of community-based programs designed to address the social, behavioural, health, welfare, developmental and protection needs of young people. This work may be undertaken through employment in community, government and youth sector agencies and workers will be responsible for implementing policies and guidelines of the employing organisation, and largely self-directed with fairly autonomous decision-making capacity under the indirect supervision of a manager."
Early Childhood Education and Care,Diploma,No minimum education,This qualification is part of the Community Services Training Package. It reflects the role of early childhood educators who are responsible for designing and implementing curriculum in early childhood education and care services. In doing so they work to implement an approved learning framework within the requirements of the Education and Care Services National Regulations and the National Quality Standard. They may have responsibility for supervision of volunteers or other staff.
School Age Education and Care,Diploma,No minimum education,"This qualification is part of the Community Services Training Package. It reflects the role of educators who are responsible for the day-to-day running of a before and after school care and/or vacation care service, including planning, implementing and managing programs which address regulatory and duty of care requirements. They will have responsibility for the supervision of volunteers and or other staff."
Youth Work,Diploma,No minimum education,"This qualification is part of the Community Services Training Package. It reflects the role of people with responsibility for the development and the outcomes of programs and services for young people managed through a range of agencies and designed to meet the social, behavioural, health, welfare, developmental and protection needs of young people. This work may be undertaken through employment in community, government and welfare agencies."
Construction,Certificate II,No minimum education,"This qualification is part of the Construction, Plumbing and Services Training Package. It provides an occupational outcome and a range of support tasks applicable to a majority of construction work sites. Students who complete this qualification may secure employment as a builder's labourer."
Roof Tiling,Certificate III,No minimum education,"This qualification is part of the Construction, Plumbing and Services Training Package. It provides a trade outcome in roof tiling for residential and commercial construction work."
Shopfitting,Certificate III,No minimum education,"This qualification is part of the Construction, Plumbing and Services Training Package. It provides a trade outcome in shopfitting. The qualification has compulsory requirements that cover common skills for the construction industry, as well as a specialist field of work. Training is undertaken in a real or very closely simulated workplace environment."
Joinery,Certificate III,No minimum education,"This qualification is part of the Construction, Plumbing and Services Training Package. It provides a trade outcome in joinery and covering work for residential and commercial applications."
Plumbing,Certificate III,No minimum education,"This qualification is part of the Construction, Plumbing and Services Training Package. It provides a trade outcome in plumbing in roles such as plumber, gasfitter, drainer or roof plumber. There are six streams available: water, sanitary, drainage, mechanical services, roofing and gas services."
Plumbing and Service,Certificate IV,No minimum education,"This qualification is part of the Construction, Plumbing and Services Training Package. It is for people wanting to work as: experienced fire operators with responsibility for project design and supervision (Fire services stream); experienced plumbing service operators with responsibility for project design and supervision (Air conditioning and mechanical services stream); plumbers who manage a plumbing business (Plumbing and services - Management stream); specialist plumbing services tradespersons and operators seeking to deepen their technical skills (Plumbing and services - Operations stream); and specialist hydraulic consultants (Hydraulic services design stream)."
Hydraulic Services Design,Diploma,Certificate IV in Plumbing and Services - Hydraulic services design stream; or an equivalent qualification,"This qualification is part of the Construction, Plumbing and Services Training Package. It is for people wanting to work as specialist hydraulic design consultants who design plumbing and services systems for residential and commercial buildings."
Building and Construction (Management),Advanced Diploma,No minimum education,"This qualification is part of the Construction, Plumbing and Services Training Package. It is designed to meet the needs of builders, including selecting contractors, overseeing the work and its quality, and liaising with the client. The builder may also be the appropriately licensed person with responsibility under the relevant building licensing authority in the State or Territory."
Security Operations,Certificate II,No minimum education,"This qualification is part of the Property Services Training Package. It aims to provide participants with the knowledge and skills required to provide security services including crowd control and security guarding. The content includes legislation relevant to the industry, communication skills, customer service, teamwork, basic first aid, managing intoxicated persons, reporting security incidents, OHS, basic self defence and emergency procedures."
Dance,Certificate II,No minimum education,This qualification is part of the Live Performance and Entertainment Training Package. It is a preparatory qualification that allows learners to develop basic technical skills and knowledge to prepare for work in the live performance industry.
Dance,Certificate III,No minimum education. An audition or other form of evidence where the candidate demonstrates competence in at least one dance style at Certificate II level is required.,"This qualification is part of the Live Performance and Entertainment Training Package. It reflects the role of a person working in a varied context in the live performance industry, using some discretion and judgement and relevant theoretical knowledge."
Assistant Dance Teaching,Certificate III,No minimum education,"This qualification is part of the Live Performance and Entertainment Training Package. It reflects the role of a person working in a varied context in the private dance teaching industry, using some discretion and judgement and relevant theoretical knowledge."
Dance,Certificate IV,An audition or other form of evidence where the candidate demonstrates competence in at least one dance style at Certificate III level,"This qualification is part of the Live Performance and Entertainment Training Package. It reflects the role of individuals working in a wide variety of dance performance contexts. They apply solutions to a defined range of unpredictable problems, and analyse and evaluate information from a variety of sources. They may provide leadership and guidance to others and have limited responsibility for the output of others."
Dance Teaching and Management,Certificate IV,No minimum education,"This qualification is part of the Live Performance and Entertainment Training Package. It reflects the role of individuals working in a variety of dance teaching contexts, including private dance studios. They apply solutions to a defined range of unpredictable problems, and analyse and evaluate information from a variety of sources. They may provide leadership and guidance to others and have limited responsibility for the output of others."
Dance (Elite Performance),Diploma,An audition or other form of evidence where the candidate demonstrates competence in at least one dance style at Certificate IV level,"This qualification is part of the Live Performance and Entertainment Training Package. It reflects the role of dancers working or aspiring to work in professional dance companies. At this level individuals are expected to apply theory and creative skills in a range of situations and to display initiative and judgement in planning activities. They have autonomy in performing complex technical operations and can be responsible for planning, coordinating and evaluating the work of others within broad but generally well-defined parameters."
Musical Theatre,Diploma,"An audition or other form of evidence where the candidate demonstrates competence in vocal, dance and/or acting skills at Certificate IV level","This qualification is part of the Live Performance and Entertainment Training Package. It reflects the role of performers working or aspiring to work in musical theatre and cabaret productions. At this level individuals are expected to apply theory and creative skills in a range of situations and to display initiative and judgement in planning activities. They have autonomy in performing complex technical operations and can be responsible for planning, coordinating and evaluating the work of others within broad but generally well-defined parameters."
Dance Teaching and Management,Diploma,An audition or other form of evidence where the candidate demonstrates competence; or prerequisite Certificate IV units,"This qualification is part of the Live Performance and Entertainment Training Package. It reflects the role of dance teachers and dance studio managers with the cognitive and communication skills to transmit skills and knowledge to others. At this level individuals are expected to apply theory and creative skills in a range of situations and to display initiative and judgement in planning activities. They have autonomy in performing complex technical operations and can be responsible for planning, coordinating and evaluating the work of others within broad but generally well-defined parameters."
Dance (Elite Performance),Advanced Diploma,An audition or other form of evidence where the candidate demonstrates competence in at least one dance style at Diploma level,"This qualification is part of the Live Performance and Entertainment Training Package. It reflects the role of dancers with the necessary technique and talent to work in professional dance companies. At this level individuals are expected to apply wide-ranging, highly specialised technical, creative and conceptual skills to express ideas and perspectives. They have autonomy in performing complex operations and can be expected to apply initiative and judgement in planning, design, and technical or management functions."
Access to Vocational Pathways,Certificate I,No minimum education,"This qualification is part of the Foundation Skills Training Package. It is designed for individuals who require significant foundation skills support to access a vocational learning pathway. It is suitable for individuals who require: a prevocational pathway to employment and vocational training; reading, writing, numeracy, oral communication and learning skills at Australian Core Skills Framework (ACSF) Level 1; or entry level digital technology and employability skills."
Skills for Vocational Pathways,Certificate I,No minimum education,"This qualification is part of the Foundation Skills Training Package. It is designed for individuals who need skills to prepare for a vocational pathway qualification or further foundation skills development. It is suitable for individuals who require: a prevocational pathway to employment and vocational training; reading, writing, numeracy, oral communication and learning skills at Australian Core Skills Framework (ACSF) Level 2; entry level digital technology and employability skills; or education, training and employment goals."
Skills for Work and Vocational Pathways,Certificate II,No minimum education,"This qualification is part of the Foundation Skills Training Package. It is designed for individuals who require further foundation skills development to prepare for workforce entry or vocational training pathways. It is suitable for individuals who require: a pathway to employment or vocational training; reading, writing, numeracy, oral communication and learning skills at Australian Core Skills Framework (ACSF) Level 3; entry level digital literacy and employability skills; or a vocational training and employment plan."
Aboriginal and/or Torres Strait Islander Primary Health Care,Certificate II,No minimum education,"This qualification is part of the Health Training Package. It reflects the role of workers who undertake a range of tasks under direct supervision to support the provision of primary health care services to Aboriginal and/or Torres Strait Islander clients and communities. Such work will be performed as part of a health clinic, centre or service. This qualification is suited to Australian Apprenticeship pathways and is appropriate for delivery within VET in Schools programs."
Aboriginal and/or Torres Strait Islander Primary Health Care,Certificate III,No minimum education,"This qualification is part of the Health Training Package. It reflects the role of Aboriginal and/or Torres Strait Islander people working at the entry level of primary health care for Aboriginal and/or Torres Strait Islander clients. Certificate III may be regarded by many jurisdictions as the minimum level for Aboriginal and/or Torres Strait Islander health work. In some jurisdictions, however, individuals may start at Certificate II level and, when ready, progress to Certificate III. The qualification structure for Certificate III supports both these options. This qualification is suited to Australian Apprenticeship pathways."
Aboriginal and/or Torres Strait Islander Primary Health Care,Certificate IV,No minimum education,"This qualification is part of the Health Training Package. It reflects the role of Aboriginal and/or Torres Strait Islander people working to provide a range of non-clinical primary health care services to Aboriginal and/or Torres Strait Islander clients and communities, including specific health care programs. These workers can be expected to flexibly assume a variety of job roles and undertake a broad range of tasks either individually or as a member of a multidisciplinary team."
Aboriginal and/or Torres Strait Islander Primary Health Care Practice,Certificate IV,No minimum education,"This qualification is part of the Health Training Package. It reflects the role of Aboriginal and/or Torres Strait Islander people working to provide a range of clinical primary health care services to Aboriginal and/or Torres Strait Islander clients and communities, including specific health care programs, advice and assistance with, and administration of, medication. These workers can be expected to flexibly assume a variety of job roles and undertake a broad range of tasks either individually or as a member of a multidisciplinary team."
National Broadband Network Construction,Certificate II,No minimum education,This qualification is part of the Integrated Telecommunications Training Package. It is designed as a pathway for entry into work on the National Broadband Network (NBN). It provides the skills and knowledge required to enhance entry-level employment prospects in apprenticeships and traineeships in a range of NBN industry occupations specifically for the national rollout of high speed broadband network infrastructure.
National Broadband Network Construction,Certificate III,No minimum education,This qualification is part of the Integrated Telecommunications Training Package. It provides students with skills and knowledge to enhance employment prospects in apprenticeships and traineeships in a range of specialised NBN industry occupations specifically for the national rollout of the high speed broadband infrastructure.
Cabinet Making,Certificate III,No minimum education,"This qualification is part of the Furnishing Training Package. It covers the skills and knowledge required to perform a range of skills at trade-level for those working in furniture making and those involved in the manufacture and installation of fitted furniture typically in a kitchen, bathroom and related context. Installation skills may be applied to new or renovation work. The work is in a defined range of skilled operations, usually within a range of broader related activities involving known routines, methods and procedures, where some discretion and judgement is required in the selection of equipment, services or contingency measures and within known time constraints."
Process Plant Operations,Certificate II,No minimum education,"This qualification is part of the Chemical, Hydrocarbons and Refining Training Package. It is intended for competent operators who operate production equipment or undertake similar roles directly producing products. The operator would apply a breadth and depth of knowledge to a defined range of situations and would be expected to apply this knowledge to solve a defined range of problems by applying known solutions to a limited range of predictable problems."
Process Plant Operations,Certificate III,No minimum education,"This qualification is part of the Chemical, Hydrocarbons and Refining Training Package. It is intended for advanced operators and operations technicians who use production equipment to directly produce products. At this level, operators/technicians would undertake more advanced operations, typically of integrated plant units in accordance with the operating procedures, and would apply their knowledge to anticipate problems. They would be expected to solve a range of foreseen and unforeseen problems, using product and process knowledge to develop solutions to problems which do not have a known solution, or a solution recorded in the procedures."
Process Plant Technology,Certificate IV,No minimum education,"This qualification is part of the Chemical, Hydrocarbons and Refining Training Package. It is intended for plant technicians. The technician will typically be involved in solving complex problems which require theoretical knowledge, combined with an understanding of the production process and equipment across the plant."
Underground Coal Mining,Certificate II,No minimum education,"This qualification is part of the Resources and Infrastructure Industry Training Package. It reflects the role of an individual working as an operator in an underground coal mine, who performs a range of mainly routine tasks using limited practical skills and fundamental operational knowledge, in a defined context working under direct supervision."
Civil Construction,Certificate II,No minimum education,"This qualification is part of the Resources and Infrastructure Industry Training Package. It reflects the role of individuals working in an operational role in civil construction, who undertake a prescribed range of tasks using limited practical skills and fundamental knowledge, in a defined context working under supervision."
Civil Construction Plant Operations,Certificate III,No minimum education,"This qualification is part of the Resources and Infrastructure Industry Training Package. It reflects the role of a skilled operator working with civil construction plant, who applies a broad range of skills in a varied work context, using some discretion and judgement and relevant theoretical knowledge. The individual may provide theoretical advice and support a team."
Civil Construction Design,Certificate IV,No minimum education,"This qualification is part of the Resources and Infrastructure Industry Training Package. It reflects the role of people providing design support for professional engineers. They perform tasks involving a broad range of varied activities most of which are complex and non-routine, for example, this might include civil works drafting. They are responsible for applying the design work instructions and practices to ensure the quantity and quality of the output of others and contribute to the development of technical solutions to non-routine problems."
Drilling Operations,Certificate IV,No minimum education,This qualification is part of the Resources and Infrastructure Industry Training Package. It reflects the role of employees such as senior drillers. They perform tasks involving a broad range of varied activities most of which are complex and non-routine. They are responsible for the quantity and quality of the output of others and contribute to the development of technical solutions to non-routine problems.
Civil Construction Design,Advanced Diploma,No minimum education,"This qualification is part of the Resources and Infrastructure Industry Training Package. It reflects the role of senior civil works or para-professional designers who support professional engineers and perform tasks that are broad, specialised, complex and technical and include strategic areas and initiating activities. They are responsible for the design of complex projects to ensure the implementation of the client's site requirements and are required to demonstrate self-directed application of theoretical and technical knowledge and initiate solutions to technical problems or management requirements."
Community Activities,Certificate II,No minimum education,"This qualification is part of the Sport, Fitness and Recreation Training Package. It provides the skills and knowledge for an individual to be competent in a range of activities and functions with a focus on customer contact such as assisting with the conduct of recreation activities, and facility maintenance and operations. Work may be undertaken as part of a team and would be performed under supervision. Work would be undertaken in locations such as community recreation centres or facilities, indoor recreation facilities and leisure and aquatic centres."
Outdoor Recreation,Certificate II,No minimum education,"This qualification is part of the Sport, Fitness and Recreation Training Package. It provides the skills and knowledge for an individual to be competent in performing core skills in outdoor recreation environments and assisting with the conduct of a range of outdoor activities. Work may be undertaken as part of a team and would be performed under supervision. Work would be undertaken in field locations such as camps or in indoor recreation centres or facilities, in differing environments such as water-based, dry land and mountainous terrains, using a diverse range of equipment."
Sport and Recreation,Certificate II,No minimum education,"This qualification is part of the Sport, Fitness and Recreation Training Package. It reflects the role of individuals who apply the skills and knowledge to work in the sport and recreation industry in a generalist capacity. Likely functions for someone with this qualification include providing support in the provision of sport and recreation programs, grounds and facilities maintenance, routine housekeeping, retail and customer service assistance, administrative assistance and cafe service in locations such as fitness centres, outdoor sporting grounds or complexes or aquatic centres. All job roles are performed under supervision."
Sport Coaching,Certificate II,No minimum education,"This qualification is part of the Sport, Fitness and Recreation Training Package. It reflects the role of individuals who apply the skills and knowledge to be competent in delivering a basic instruction session for a sport. Work may be undertaken as part of a team and would be performed under supervision or independently in a structured environment such as a sporting club or school. Individuals wishing to undertake this qualification should be current or past participants in the respective sport specialisation chosen as part of this qualification."
Aquatics,Certificate III,No minimum education,"This qualification is part of the Sport, Fitness and Recreation Training Package. It provides the skills and knowledge for an individual to be competent in a range of activities and functions requiring autonomous work within a defined range of situations and activities in an aquatic setting. Qualification outcomes will depend on the specialisation chosen and include swimming teaching, pool lifeguard and pool operations. Work would be undertaken in locations such as aquatic facilities or environments, and indoor recreation facilities under some supervision."
Community Activity Programs,Certificate III,No minimum education,"This qualification is part of the Sport, Fitness and Recreation Training Package. It provides the skills and knowledge for an individual to be competent in a range of activities and functions requiring autonomous work within a defined range of situations and activities. Qualification outcomes will depend on the specialisation chosen and include conducting both general and specific community based recreation programs such as recreational dance, self defence and programs for children and clients with a disability. Work would be undertaken in locations such as community recreation centres and indoor or outdoor recreation facilities with a focus on community development."
Fitness,Certificate III,No minimum education,"This qualification is part of the Sport, Fitness and Recreation Training Package. It provides the skills and knowledge for an individual to be competent in a range of activities and functions requiring autonomous work within a defined range of exercise instruction situations and activities. Qualification outcomes will depend on the elective grouping chosen and may include providing exercise instruction for group, aqua or gym programs."
Outdoor Recreation,Certificate III,Relevant employment experience,"This qualification is part of the Sport, Fitness and Recreation Training Package. It provides the skills and knowledge for an individual to be competent in guiding outdoor recreation activities in a controlled environment. It requires technical knowledge of the outdoor recreation activity to be transferred to allow individuals to safely participate in the outdoor activity. It does not provide the skills and knowledge to impart the required level of technical knowledge and expertise to allow participants to independently undertake outdoor recreation activities."
Sport and Recreation,Certificate III,No minimum education,"This qualification is part of the Sport, Fitness and Recreation Training Package. It reflects the role of individuals who apply the skills and knowledge to work in the sport and recreation industry in areas such as maintaining grounds and playing surfaces, providing customer service, housekeeping and or administrative assistance. This qualification also provides for multi skilled roles which combine a range of activities required to support the operation of facilities such as fitness centres, outdoor sporting grounds or complexes, aquatic centres and community recreation centres. All job roles are performed under supervision with some degree of autonomy."
Community Recreation,Certificate IV,No minimum education,"This qualification is part of the Sport, Fitness and Recreation Training Package. It provides the skills and knowledge for an individual to be competent in a range of activities and functions within the community recreation sector including working independently at a broad range of venues or environments such as leisure centres and pools, with a variety of different client groups. Individuals with this level of competency have the ability to plan, conduct and evaluate activities of others and to deal with unpredictable and non-routine situations and provide leadership and guidance to staff."
Outdoor Recreation,Certificate IV,Relevant Certificate III or previous experience in the industry,"This qualification is part of the Sport, Fitness and Recreation Training Package. It provides the skills and knowledge for an individual to be competent in guiding outdoor recreation activities in an uncontrolled environment, and instructing outdoor recreation skills."
Sport and Recreation,Certificate IV,No minimum education,"This qualification is part of the Sport, Fitness and Recreation Training Package. It reflects the role of individuals who apply the skills and knowledge to work in the sport and recreation industry in an administrative or organisational capacity in locations such as fitness centres, outdoor sporting grounds or complexes, aquatic centres or sporting organisations and associations. Persons with this level of competency would support the management of ancillary functions required to ensure the effective provisions of specific services and programs."
Sport Development,Certificate IV,No minimum education,"This qualification is part of the Sport, Fitness and Recreation Training Package. It reflects the role of individuals who apply the skills and knowledge to pursue a career in sport development. Occupational outcomes for this qualification are varied with roles ranging from positions with specific expectations to those where a range of tasks are required. These may include liaising with a number of stakeholder groups to increase the profile of sport, implementing and administering junior sports programs or clinics within clubs and schools in specific sports, training coaches and teachers, recruiting young people, parents and volunteers to sport, and fixturing and scheduling competitions."
