ANZSCO Code,ANZSCO Title,ANZSCO Description,Softskill1,Softskill2,Softskill3,Softskill4,Softskill5,Techskill1,Techskill2,Techskill3,Technology Tool Example1,Technology Tool Example2,Technology Tool Example3,Course1,Course2,Course3,Course4,Course5,entry_requirements1,entry_requirements2,entry_requirements3,entry_requirements4,entry_requirements5
431511,Waiter,"Serves food and beverages in a hotel, restaurant, club or dining establishment.",Teamwork,Initiative and innovation,Digital engagement,Reading,Planning and organising,Social media platforms,Point of sale (POS) and EFTPOS systems,,Facebook,Credit card processing machines,,Certificate III in Hospitality,,,,,No minimum education,,,,
441211,Emergency Service Worker,Attends the scene of emergencies to minimise risk to community safety and security.,Teamwork,Planning and organising,Initiative and innovation,Learning,Oral communication,Patient management systems and electronic health records,,,3M Encoder,MEDITECH HCIS,,Certificate II in Emergency Medical Service First Response,Certificate III in Mine Emergency Response and Rescue,,,,No minimum education,No minimum education,,,
441212,Fire Fighter,"Responds to fire alarms and emergency calls, controls and extinguishes fires, and protects life and property. Registration or licensing is required.",Teamwork,Initiative and innovation,Planning and organising,Oral communication,Reading,Business intelligence and decision support software,GPS and navigation technologies,Mapping software,SAP Business Objects,Global Positioning System GPS devices,,Certificate II in Public Safety (Firefighting Operations),,,,,No minimum education,,,,
442111,Prison Officer,Supervises and controls the activities of inmates in a prison or other correctional institution.,Initiative and innovation,Teamwork,Reading,Oral communication,Planning and organising,Business intelligence and decision support software,Radio frequency transmitters or receivers,,SAP Business Objects,Radio Frequency Identification Device RFID scanners,,Certificate IV in Correctional Practice,,,,,No minimum education,,,,
442214,Private Investigator,Conducts investigations for clients and prepares evidence for court proceedings. Registration or licensing is required.,Initiative and innovation,Reading,Oral communication,Planning and organising,Digital engagement,GPS and navigation technologies,,,Global Positioning System GPS devices,,,Certificate III in Investigative Services,,,,,No minimum education,,,,
442216,Security Consultant,"Advises clients on security requirements, and recommends and designs security specifications. Registration or licensing may be required.",Planning and organising,Reading,Initiative and innovation,Oral communication,Problem solving,Enterprise resource planning ERP software,Network security and virtual private network VPN software,Database management software,SAP Business Objects,Virtual Private Networking (VPN) software,PostgreSQL,Certificate IV in Security and Risk Management,Diploma of Security and Risk Management,Diploma of Integrated Risk Management,,,No minimum education,No minimum education,No minimum education,,
442217,Security Officer,"Patrols and guards industrial and commercial property, railway yards, stations and other facilities. Registration or licensing may be required.",Planning and organising,Initiative and innovation,Learning,Teamwork,Writing,Network security and virtual private network VPN software,Project management software,Network monitoring software,Virtual Private Networking (VPN) software,Microsoft SharePoint,Wireshark,Certificate III in Security Operations,Certificate II in Security Operations,,,,No minimum education,No minimum education,,,
451111,Beauty Therapist,"Provides skin analyses, facial therapies, skin-care treatments and body treatments such as massage to clients.",Teamwork,Initiative and innovation,Planning and organising,Oral communication,Writing,,,,,,,Certificate II in Nail Technology,Certificate III in Beauty Services,Certificate IV in Beauty Therapy,Diploma of Beauty Therapy,Vocational Graduate Certificate in Intense Pulsed Light and Laser Hair Reduction,No minimum education,No minimum education,No minimum education,No minimum education,"Diploma of Beauty Therapy or a relevant qualification at diploma level or above in medical health, including the study of human biology, anatomy and physiology; or significant and relevant vocational experience as a beauty therapist with a primary focus on providing facial services, skin services and hair reduction services"
451211,Driving Instructor,Instructs individuals and groups in the theory and application of driving motor vehicles. Registration or licensing is required.,Initiative and innovation,Planning and organising,Teamwork,Writing,Reading,Social media platforms,Business intelligence and decision support software,Document management and code versioning software,Facebook,SAP Business Objects,Git,Certificate IV in Transport and Logistics (Road Transport - Car Driving Instruction),Certificate IV in Transport and Logistics (Road Transport - Heavy Vehicle Driving Instruction),,,,"Possession of a current, full and unrestricted Australian driver licence; Level 3 language, literacy and numeracy skills","Students must possess a current, full and unrestricted Australian Light Rigid Driver Licence/Endorsement (as a minimum). Learners (trainee instructors) must hold the licence/endorsement pertinent to the relevant vehicle category being: Light Rigid, Medium Rigid, Heavy Rigid, Heavy Combination or Multi-Combination.",,,
451612,Travel Consultant,"Plans travel, accommodation and associated arrangements for clients and makes travel bookings. May work in a call centre.",Planning and organising,Digital engagement,Reading,Oral communication,Writing,Accounting software,Audio/video conferencing software,Bookings and reservations software,MYOB Business Essentials,Microsoft Office SharePoint Server MOSS,Airline reservation system,Certificate III in Tourism,Certificate III in Travel,Certificate IV in Travel and Tourism,Diploma of Travel and Tourism,Advanced Diploma of Travel and Tourism,No minimum education,No minimum education,Relevant Certificate III; or relevant vocational experience,Relevant qualification or unit; or relevant vocational experience,Relevant qualification; relevant vocational experience
452111,Fitness Instructor,"Directs, instructs and guides individuals or groups in the pursuit of physical fitness and wellbeing.",Initiative and innovation,Teamwork,Planning and organising,Oral communication,Writing,Accounting software,Social media platforms,,MYOB Business Essentials,Facebook,,Certificate IV in Fitness,Certificate IV in Fitness,Certificate III in Fitness,Certificate III in Sport and Recreation,Diploma of Fitness,Entry to this qualification is open to those who hold a current first aid qualification and current CPR certificate; completion of required prerequisite units: Provide fitness orientation and health screening; Provide quality service in the fitness industry; Develop and apply an awareness of specific populations to exercise delivery; Instruct and monitor fitness programs; Apply anatomy and physiology principles in a fitness context; Provide healthy eating information to clients in accordance with recommended guidelines; Undertake client health assessment; Plan and deliver gym programs; Follow occupational health and safety policies; Undertake risk analysis of activities,Certificate III,No minimum education,No minimum education,Relevant units of competency; and relevant employment experience
452211,Bungy Jump Master,"Directs, supervises and controls bungy jumping activities for individuals.",Initiative and innovation,Planning and organising,Teamwork,Oral communication,Reading,Radio frequency transmitters or receivers,,,Radio Frequency Identification Device RFID scanners,,,Certificate III in Outdoor Recreation,Certificate IV in Outdoor Recreation,,,,Relevant employment experience,Relevant Certificate III or previous experience in the industry,,,
452212,Fishing Guide,"Plans, organises and provides guided fishing trips for individuals or groups.",Initiative and innovation,Planning and organising,Teamwork,Reading,Oral communication,GPS and navigation technologies,Radio frequency transmitters or receivers,,Global Positioning System GPS devices,Radio Frequency Identification Device RFID scanners,,Certificate III in Outdoor Recreation,Certificate IV in Outdoor Recreation,,,,Relevant employment experience,Relevant Certificate III or previous experience in the industry,,,
452213,Hunting Guide,"Plans, organises and provides guided hunting trips for individuals or groups.",Initiative and innovation,Planning and organising,Teamwork,Oral communication,Reading,Document management and code versioning software,GPS and navigation technologies,Mapping software,Git,Global Positioning System GPS devices,,Certificate III in Outdoor Recreation,Certificate IV in Outdoor Recreation,,,,Relevant employment experience,Relevant Certificate III or previous experience in the industry,,,
452214,Mountain or Glacier Guide,"Plans, organises and provides guided trips for individuals or groups on mountains or glaciers.",Initiative and innovation,Planning and organising,Teamwork,Oral communication,Digital engagement,Document management and code versioning software,GPS and navigation technologies,Mapping software,Git,Global Positioning System GPS devices,,Certificate III in Outdoor Recreation,Certificate IV in Outdoor Recreation,,,,Relevant employment experience,Relevant Certificate III or previous experience in the industry,,,
452215,Outdoor Adventure Instructor,Provides adventure-based experiential education in outdoor adventure and bushcraft.,Initiative and innovation,Planning and organising,Teamwork,Oral communication,Reading,GPS and navigation technologies,Mapping software,Radio frequency transmitters or receivers,Global Positioning System GPS devices,,Radio Frequency Identification Device RFID scanners,Diploma of Outdoor Recreation,Certificate II in Outdoor Recreation,Certificate III in Outdoor Recreation,Certificate IV in Outdoor Recreation,,No minimum education,No minimum education,Relevant employment experience,Relevant Certificate III or previous experience in the industry,
452216,Trekking Guide,"Plans, organises and provides guided bushwalking and trekking trips for individuals or groups.",Planning and organising,Initiative and innovation,Teamwork,Oral communication,Reading,Document management and code versioning software,GPS and navigation technologies,Mapping software,Git,Global Positioning System GPS devices,,Certificate III in Outdoor Recreation,Certificate IV in Outdoor Recreation,,,,Relevant employment experience,Relevant Certificate III or previous experience in the industry,,,
452217,Whitewater Rafting Guide,"Plans, organises and provides guided rafting and kayaking trips for individuals or groups on whitewater rivers.",Planning and organising,Teamwork,Oral communication,Initiative and innovation,Digital engagement,GPS and navigation technologies,Radio frequency transmitters or receivers,,Global Positioning System GPS devices,Radio Frequency Identification Device RFID scanners,,Certificate III in Outdoor Recreation,Certificate IV in Outdoor Recreation,,,,Relevant employment experience,Relevant Certificate III or previous experience in the industry,,,
511111,Contract Administrator,"Prepares, interprets, maintains, reviews and negotiates variations to contracts on behalf of an organisation.",Planning and organising,Initiative and innovation,Oral communication,Problem solving,Learning,Enterprise resource planning ERP software,Project management software,Financial analysis software,SAP Business Objects,Microsoft SharePoint,Oracle E-Business Suite Financials,Certificate IV in Building and Construction (Contract Administration),,,,,An apprenticeship contract is strongly recommended.,,,,
511112,Program or Project Administrator,"Plans and undertakes administration of organisational programs, special projects and support services.",Planning and organising,Initiative and innovation,Oral communication,Reading,Teamwork,Enterprise resource planning ERP software,Project management software,Content workflow software,SAP Business Objects,Microsoft SharePoint,Atlassian JIRA,Certificate IV in Governance,Diploma of Business,Advanced Diploma of Business,Advanced Diploma of Project Management,Certificate IV in Local Government (Operational Works),No minimum education,No minimum education,Diploma of Business or other relevant qualification; or relevant employment experience,Diploma of Project Management or other relevant qualification; or extensive relevant employment experience,No minimum education
512111,Office Manager,Organises and controls the functions and resources of an office such as administrative systems and office personnel.,Teamwork,Planning and organising,Initiative and innovation,Oral communication,Digital engagement,Enterprise resource planning ERP software,Customer relationship management CRM software,Accounting software,SAP Business Objects,Salesforce software,MYOB Business Essentials,Certificate IV in Small Business Management,Certificate IV in Business Administration,Certificate IV in Frontline Management,Diploma of Business,Diploma of Business Administration,No minimum education,Certificate III in Business Administration or relevant vocational experience,Certificate III in Frontline Management or equivalent; or relevant employment experience.,No minimum education,Certificate IV in Business Administration or equivalent; or relevant vocational experience
512211,Health Practice Manager,Organises and controls the functions and resources of a health practice such as administrative systems and practice personnel.,Planning and organising,Initiative and innovation,Learning,Reading,Writing,Social media platforms,Enterprise resource planning ERP software,Business intelligence and decision support software,Facebook,SAP Business Objects,SAP Business Objects,Certificate IV in Health Supervision,Certificate IV in Health Administration,Certificate III in Health Administration,,,No minimum education,No minimum education,No minimum education,,
521211,Secretary (General),"Performs secretarial, clerical and other administrative tasks in support of Managers and Professionals.",Planning and organising,Teamwork,Initiative and innovation,Oral communication,Reading,Enterprise resource planning ERP software,Project management software,Business intelligence and decision support software,SAP Business Objects,Microsoft SharePoint,SAP Business Objects,Certificate III in Business Administration (Education),,,,,No minimum education,,,,
521212,Legal Secretary,"Performs secretarial, clerical and other administrative tasks in support of Legal Professionals applying knowledge of legal terminology, procedures and documents.",Planning and organising,Reading,Writing,Teamwork,Initiative and innovation,Document management and code versioning software,Graphics or photo imaging software,Business intelligence and decision support software,Git,Adobe Photoshop,SAP Business Objects,Certificate III in Business Administration (Legal),,,,,Certificate II in Business or equivalent; or relevant vocational experience,,,,
531111,General Clerk,Performs a range of clerical and administrative tasks.,Teamwork,Initiative and innovation,Planning and organising,Oral communication,Reading,Enterprise resource planning ERP software,Business intelligence and decision support software,Social media platforms,SAP Business Objects,SAP Business Objects,Facebook,Certificate II in Business,Certificate III in Business,Certificate III in Business,Certificate III in Micro Business Operations,Certificate III in Business Administration,Certificate I in Business,Certificate II,No minimum education,No minimum education,Certificate II
532111,Data Entry Operator,"Operates a keyboard to input and transfer data into a computer for storage, processing and transmission.",Teamwork,Planning and organising,Reading,Digital engagement,Initiative and innovation,Enterprise resource planning ERP software,Customer relationship management CRM software,Business intelligence and decision support software,SAP Business Objects,Salesforce software,SAP Business Objects,"Certificate I in Information, Digital Media and Technology","Certificate II in Information, Digital Media and Technology",,,,No minimum education,No minimum education,,,
541111,Call or Contact Centre Team Leader,"Oversees and determines work requirements, monitors telephone calls, coaches and allocates duties to Call or Contact Centre Operators.",Planning and organising,Initiative and innovation,Teamwork,Reading,Oral communication,Customer relationship management CRM software,Business intelligence and decision support software,Enterprise resource planning ERP software,Salesforce software,SAP Business Objects,SAP Business Objects,Diploma of Customer Contact,Certificate IV in Customer Contact,,,,Certificate IV in Customer Contact or equivalent; or relevant vocational experience,Certificate III in Customer Contact or equivalent; or relevant vocational experience,,,
541112,Call or Contact Centre Operator,"Answers customer telephone, Internet and email inquiries about goods and services, and promotes the goods and services.",Planning and organising,Teamwork,Initiative and innovation,Oral communication,Reading,Enterprise resource planning ERP software,Customer relationship management CRM software,Social media platforms,SAP Business Objects,Salesforce software,Facebook,Certificate II in Customer Contact,Certificate III in Customer Contact,Diploma of Customer Contact,,,Relevant vocational experience,Certificate II in Customer Contact; relevant vocational experience,Certificate IV in Customer Contact or equivalent; or relevant vocational experience,,
541211,Information Officer,"Responds to personal, written and telephone inquiries and complaints about the organisation's goods and services, provides information and refers people to other sources.",Teamwork,Initiative and innovation,Planning and organising,Oral communication,Reading,Audio/video conferencing software,Customer relationship management CRM software,Accounting software,Microsoft Office SharePoint Server MOSS,Salesforce software,MYOB Business Essentials,Certificate II in Community Activities,,,,,No minimum education,,,,
542112,Admissions Clerk,Records and processes information required for the admission and discharge of hospital patients and responds to telephone inquiries.,Teamwork,Planning and organising,Initiative and innovation,Digital engagement,Oral communication,Patient management systems and electronic health records,Accounting software,Business intelligence and decision support software,3M Encoder,MEDITECH HCIS,MYOB Business Essentials,Certificate III in Business Administration (Education),,,,,No minimum education,,,,
542114,Medical Receptionist,"Greets patients and other clients in a health facility, such as a clinic, practice, centre or surgery, and responds to personal, telephone and written inquiries and requests.",Planning and organising,Initiative and innovation,Teamwork,Oral communication,Digital engagement,Business intelligence and decision support software,Patient management systems and electronic health records,Graphics or photo imaging software,SAP Business Objects,3M Encoder,MEDITECH HCIS,Certificate III in Business Administration (Medical),,,,,Certificate II in Business or equivalent; or relevant vocational experience,,,,
551111,Accounts Clerk,"Monitors creditor and debtor accounts, and undertakes related routine documentation. May work in a call centre.",Planning and organising,Initiative and innovation,Digital engagement,Teamwork,Numeracy,Enterprise resource planning ERP software,Business intelligence and decision support software,Accounting software,SAP Business Objects,SAP Business Objects,MYOB Business Essentials,Certificate III in Accounts Administration,,,,,No minimum education,,,,
551211,Bookkeeper,Maintains and evaluates records of financial transactions in account books and computerised accounting systems.,Planning and organising,Initiative and innovation,Teamwork,Digital engagement,Oral communication,Accounting software,Enterprise resource planning ERP software,Business intelligence and decision support software,MYOB Business Essentials,SAP Business Objects,SAP Business Objects,Certificate IV in Financial Practice Support,Certificate IV in Bookkeeping,Certificate IV in Accounting,,,No minimum education,No minimum education,Relevant Certificate III,,
552111,Bank Worker,"Receives deposits and pays out money in a financial or commercial institution, keeps records of transactions, issues receipts and cashes cheques.",Teamwork,Initiative and innovation,Digital engagement,Reading,Oral communication,Enterprise resource planning ERP software,,,SAP Business Objects,,,Certificate I in Financial Services,Diploma of Banking Services Management,Certificate II in Financial Services,Certificate III in Financial Services,Certificate IV in Banking Services,No minimum education,Certificate IV in Banking Services; Certificate IV in Mobile Banking,No minimum education,No minimum education,No minimum education
552211,Credit or Loans Officer,"Analyses, evaluates and processes credit and loan applications. May work in a call centre.",Planning and organising,Initiative and innovation,Teamwork,Reading,Oral communication,Customer relationship management CRM software,Accounting software,Financial analysis software,Salesforce software,MYOB Business Essentials,Oracle E-Business Suite Financials,Certificate IV in Credit Management,Certificate IV in Finance and Mortgage Broking,Certificate IV in Banking Services,,,No minimum education,No minimum education,No minimum education,,
552312,Insurance Consultant,Prepares and checks documentation associated with insurance. May work in a call centre.,Planning and organising,Teamwork,Initiative and innovation,Oral communication,Reading,Financial and commodities services software,Patient management systems and electronic health records,,Financial brokerage software,3M Encoder,MEDITECH HCIS,Certificate III in Insurance Broking,Diploma of Life Insurance,,,,No minimum education,No minimum education,,,
591112,Production Clerk,"Records and coordinates the flow of work and materials between departments, examines orders for goods, and prepares production schedules.",Planning and organising,Digital engagement,Reading,Initiative and innovation,Oral communication,Enterprise resource planning ERP software,Project management software,Business intelligence and decision support software,SAP Business Objects,Microsoft SharePoint,SAP Business Objects,Certificate II in Logistics,,,,,No minimum education,,,,
591113,Purchasing Officer,"Prepares purchase orders, monitors supply sources and negotiates contracts with suppliers.",Planning and organising,Initiative and innovation,Oral communication,Reading,Teamwork,Enterprise resource planning ERP software,Business intelligence and decision support software,Project management software,SAP Business Objects,SAP Business Objects,Microsoft SharePoint,Certificate II in Wholesale,Certificate III in Wholesale,,,,No minimum education; a traineeship may be required,No minimum education,,,
591116,Warehouse Administrator,Administers and coordinates storage and distribution operations within an organisation.,Teamwork,Reading,Oral communication,Planning and organising,Initiative and innovation,Enterprise resource planning ERP software,Inventory management software,"Materials requirements planning, logistics and supply chain software",SAP Business Objects,Inventory tracking software,Materials Requirement Planning (MRP) software,Certificate III in Warehousing Operations,Certificate IV in Stevedoring Operations,Certificate IV in Warehousing Operations,,,No minimum education,No minimum education,No minimum education,,
599411,Human Resource Clerk,"Maintains and updates personnel records such as information on transfers and promotions, employee leave taken and accumulated, salaries, superannuation and taxation, qualifications and training.",Planning and organising,Initiative and innovation,Oral communication,Digital engagement,Reading,Enterprise resource planning ERP software,Project management software,Business intelligence and decision support software,SAP Business Objects,Microsoft SharePoint,SAP Business Objects,Certificate IV in Employment Services,Certificate III in Employment Services,Certificate IV in Volunteer Program Coordination,Certificate IV in Human Resources,,No minimum education,No minimum education,Experience either as a volunteer or in a role involving supervision of volunteers is recommended.,Certificate III in Business or equivalent; or relevant vocational experience,
599711,Library Assistant,"Issues, receives and shelves library items and maintains associated records.",Planning and organising,Teamwork,Digital engagement,Initiative and innovation,Oral communication,Library management systems,Document management and code versioning software,Software development and programming languages,SirsiDynix Symphony,Git,Transact-SQL,Certificate III in Information and Cultural Services,,,,,"No minimum education. Candidates entering this qualification may have completed the Certificate II in Information and Cultural Services or other relevant qualifications, or have relevant vocational experience.",,,,
599914,Radio Despatcher,"Provides radio and communications services for the coordination of operational units in transport, courier, military, emergency, security, rescue and road service organisations. Registration or licensing may be required.",Planning and organising,Initiative and innovation,Digital engagement,Teamwork,Writing,GPS and navigation technologies,Despatch and vehicle booking systems,,Global Positioning System GPS devices,Despatch management system,,Certificate IV in Traffic Operations,,,,,No minimum education,,,,
611211,Insurance Agent,Represents insurance companies in selling insurance to clients. Registration or licensing is required.,Initiative and innovation,Teamwork,Planning and organising,Oral communication,Reading,Social media platforms,Video creation and editing software,Enterprise resource planning ERP software,Facebook,Adobe After Effects,SAP Business Objects,Certificate IV in Personal Injury Management (Claims Management),Diploma of Personal Injury Management,Certificate III in General Insurance,Certificate IV in General Insurance,,Certificate III in Personal Injury Management - Claims Management,No minimum education,No minimum education,Certificate III in General Insurance,
612112,Property Manager,Supervises the leasing of rental properties on behalf of owners. Registration or licensing may be required.,Planning and organising,Initiative and innovation,Oral communication,Reading,Writing,Social media platforms,Project management software,Video creation and editing software,Facebook,Microsoft SharePoint,Adobe After Effects,Certificate IV in Building and Construction (Sales),Diploma of Property Services (Asset and Facility Management),,,,No minimum education,No minimum education,,,
612114,Real Estate Agent,"Coordinates the activities of real estate representatives in selling and leasing real estate, ensuring compliance with legislative requirements. Registration or licensing is required.",Initiative and innovation,Teamwork,Oral communication,Reading,Planning and organising,Customer relationship management CRM software,Accounting software,Enterprise resource planning ERP software,Salesforce software,MYOB Business Essentials,SAP Business Objects,Certificate IV in Property Services (Real Estate),,,,,No minimum education,,,,
612115,Real Estate Representative,"Arranges the conduct of real estate transactions such as sales and leasing, and assists buyers to find suitable properties, on behalf of an agency. Registration or licensing is required.",Planning and organising,Initiative and innovation,Reading,Teamwork,Oral communication,Accounting software,Customer relationship management CRM software,Document management and code versioning software,MYOB Business Essentials,Salesforce software,Git,Certificate IV in Property Services (Real Estate),,,,,No minimum education,,,,
621111,Sales Assistant (General),"Sells goods and services, such as food, clothing, hardware, household appliances, office supplies and cosmetics, in a retail or wholesale establishment.",Teamwork,Initiative and innovation,Planning and organising,Oral communication,Reading,Social media platforms,Customer relationship management CRM software,Enterprise resource planning ERP software,Facebook,Salesforce software,SAP Business Objects,Certificate II in Retail Make-Up and Skin Care,Certificate III in Food Processing (Sales),Certificate II in Seafood Industry (Sales and Distribution),Certificate III in Seafood Industry (Sales and Distribution),Certificate II in Retail,No minimum education,Certificate II in Food Processing; or vocational training and/or work experience,No minimum education. Certificate I in Seafood Processing or equivalent is recommended.,No minimum education,No minimum education. Some training providers require applicants to be employed under a traineeship.
621311,Motor Vehicle or Caravan Salesperson,"Sells new and used motor cars, motorcycles, trucks, boats, caravans and earthmoving equipment in a retail or wholesale establishment.",Teamwork,Initiative and innovation,Reading,Planning and organising,Oral communication,Social media platforms,Enterprise resource planning ERP software,Customer relationship management CRM software,Facebook,SAP Business Objects,Salesforce software,Certificate II in Automotive Sales,Certificate III in Automotive Sales,,,,No minimum education,No minimum education,,,
621411,Pharmacy Sales Assistant,"Sells pharmaceutical goods, toiletries and related goods in a retail pharmacy.",Teamwork,Digital engagement,Reading,Planning and organising,Initiative and innovation,Inventory management software,Point of sale (POS) and EFTPOS systems,,Inventory tracking software,Credit card processing machines,,Certificate IV in Community Pharmacy,Certificate III in Hospital-Health Services Pharmacy Support,Certificate II in Community Pharmacy,Certificate III in Community Pharmacy,,Certificate III in Community Pharmacy and/or relevant employment experience. Some training providers require applicants to be employed under a traineeship.,No minimum education,No minimum education,No minimum education. Some training providers require applicants to be employed under a traineeship.,
621511,Retail Supervisor,Supervises and coordinates the activities of retail sales workers.,Planning and organising,Teamwork,Initiative and innovation,Reading,Problem solving,Social media platforms,Enterprise resource planning ERP software,Customer relationship management CRM software,Facebook,SAP Business Objects,Salesforce software,Certificate IV in Business Sales,Certificate III in Food Processing (Sales),Certificate IV in Retail Management,Diploma of Retail Management,Diploma of Retail Management,No minimum education,Certificate II in Food Processing; or vocational training and/or work experience,Certificate III; or relevant vocational experience,Prerequisite units: Communicate in the workplace; Work effectively in a retail environment; plus either Coordinate interaction with customers; or Build relationships with customers. Or relevant vocational experience,Relevant vocational experience
639511,Visual Merchandiser,"Plans and installs internal, window and fixed displays to show goods to their best advantage.",Planning and organising,Initiative and innovation,Teamwork,Oral communication,Writing,Graphics or photo imaging software,Document management and code versioning software,Technical design and modelling software (2D and 3D),Adobe Photoshop,Git,Autodesk AutoCAD,Diploma of Visual Merchandising,,,,,Year 12 or equivalent,,,,
711514,Plastics Production Machine Operator (General),"Operates extruding, injection moulding and blow moulding machines to produce finished plastic products.",Teamwork,Planning and organising,Initiative and innovation,Digital engagement,Reading,Computer aided manufacturing (CAM),Industrial control and automation software,Industrial control and automation software,Computer aided image manufacturing software,Computerised Numerical Control (CNC) machining centres,Computerised Numerical Control (CNC) machining centres,Certificate II in Polymer Processing,Certificate III in Polymer Processing,,,,No minimum education,No minimum education,,,
711611,Sewing Machinist,Operates industrial sewing machines to sew and finish garments and soft furnishings such as curtains.,Planning and organising,Initiative and innovation,Teamwork,Reading,Numeracy,,,,,,,Certificate II in Applied Fashion Design and Technology,,,,,No minimum education,,,,
712111,"Crane, Hoist or Lift Operator","Operates stationary and mobile cranes, hoists, lifts and winches to lift, move and place materials, equipment and people in areas such as building sites, factories, mines, sawmills, wharves and shipyards. Registration or licensing may be required.",Teamwork,Planning and organising,Initiative and innovation,Reading,Oral communication,Industrial control and automation software,,,Computerised Numerical Control (CNC) machining centres,,,Certificate III in Dogging,,,,,An apprenticeship contract,,,,
712212,Miner,"Operates plant to excavate, load and transport coal, ore and rock in an underground or open-cut mine. Registration or licensing may be required.",Initiative and innovation,Teamwork,Planning and organising,Problem solving,Oral communication,Statistical and data analysis software,,,SAS,,,Certificate IV in Surface Extraction Operations,Certificate III in Surface Extraction Operations,Certificate II in Underground Coal Mining,,,No minimum education,Entry requirements may vary among providers. Prerequisite units may apply.,No minimum education,,
712311,Engineering Production Worker,"Performs a range of production process tasks to refine and treat metals and mineral ore, fire ceramics, and operate plant to produce and finish metal products such as rods, tubing and structural shapes, and moulds for casting. Registration or licensing is required.",Initiative and innovation,Planning and organising,Oral communication,Problem solving,Reading,Computer aided manufacturing (CAM),Industrial control and automation software,Industrial control and automation software,Computer aided image manufacturing software,Computerised Numerical Control (CNC) machining centres,Computerised Numerical Control (CNC) machining centres,Certificate III in Manufacturing Technology,Certificate IV in Manufacturing Technology,Certificate IV in Resource Processing,Certificate IV in Competitive Systems and Practices,Certificate III in Competitive Systems and Practices,No minimum education,This qualification is usually delivered as part of a two year technology cadetship.,No minimum education,No minimum education; must have relevant technical skills,No minimum education; must have relevant technical skills
712921,Waste Water or Water Plant Operator,"Operates plant to store, distribute and treat water including purifying water for human consumption and removing wastes from sewage.",Planning and organising,Initiative and innovation,Reading,Teamwork,Writing,Industrial control and automation software,Business intelligence and decision support software,Regulatory compliance software,Computerised Numerical Control (CNC) machining centres,SAP Business Objects,Material safety data sheet MSDS software,Certificate II in Water Operations,Certificate III in Water Operations,Certificate IV in Water Operations,Certificate III in Irrigation,Certificate IV in Irrigation,No minimum education. Applicants may be required to be working in the industry.,No minimum education,No minimum education,No minimum education. This qualification may be accessed by direct entry or by completion of Certificate II in Irrigation.,No minimum education. This qualification may be accessed by direct entry or by completion of Certificate III in Irrigation.
721111,Agricultural and Horticultural Mobile Plant Operator,"Operates agricultural and horticultural plant to clear and cultivate land, and sow, fertilise, spray and harvest crops. Registration or licensing may be required.",Planning and organising,Initiative and innovation,Oral communication,Problem solving,Learning,Enterprise resource planning ERP software,Automated vehicle guidance,Geographic information systems (GIS),SAP Business Objects,,ESRI ArcGIS software,Certificate III in Rural Machinery Operations,,,,,No minimum education,,,,
721211,Earthmoving Plant Operator (General),"Operates a range of earthmoving plant to assist with building roads, rail, water supply, dams, treatment plants and agricultural earthworks. Registration or licensing is required.",Planning and organising,Initiative and innovation,Oral communication,Problem solving,Learning,,,,,,,Certificate III in Local Government (Operational Works),Certificate IV in Local Government (Operational Works),Certificate II in Civil Construction,Certificate III in Civil Construction Plant Operations,Certificate III in Civil Construction,No minimum education,No minimum education,No minimum education,No minimum education,No minimum education
721911,Aircraft Baggage Handler and Airline Ground Crew,"Loads and unloads baggage, directs planes, positions staircases, fills aircraft fuel tanks and performs other aircraft ground services to ensure aircraft operations run efficiently. Registration or licensing is required.",Teamwork,Initiative and innovation,Planning and organising,Oral communication,Numeracy,Aviation and marine communication systems,Barcode reading technologies,,Ultra high frequency UHF radio communication systems,Portable barcode scanners,,Certificate II in Aviation (Ground Operations and Service),Certificate III in Aviation (Ground Operations and Service),Certificate IV in International Freight Forwarding  (Senior Operator),,,No minimum education,No minimum education,No minimum education,,
721914,Railway Track Plant Operator,"Operates plant to lay, align, repair and maintain railway tracks. Registration or licensing may be required.",Initiative and innovation,Planning and organising,Problem solving,Teamwork,Numeracy,Radio frequency transmitters or receivers,,,Radio Frequency Identification Device RFID scanners,,,Certificate III in Rail Infrastructure,Certificate IV in Rail Infrastructure,,,,Certificate II in Rail Infrastructure (Track Work); or relevant industry experience,Relevant Certificate III; or relevant vocational experience,,,
732111,Delivery Driver,Drives a van or car to deliver goods. Registration or licensing is required.,Initiative and innovation,Teamwork,Planning and organising,Oral communication,Reading,GPS and navigation technologies,,,Global Positioning System GPS devices,,,Certificate II in Driving Operations,Certificate III in Driving Operations,,,,No minimum education,No minimum education,,,
733111,Truck Driver (General),"Drives a heavy truck, requiring a specially endorsed class of licence, to transport bulky goods.",Initiative and innovation,Planning and organising,Oral communication,Problem solving,Teamwork,GPS and navigation technologies,Instant messaging software,Inventory management software,Global Positioning System GPS devices,Unified messaging software,Inventory tracking software,Certificate III in Driving Operations,,,,,No minimum education,,,,
733113,Furniture Removalist,Drives a removal van or truck to move household and office furniture and equipment between locations.,Initiative and innovation,Planning and organising,Teamwork,Problem solving,Oral communication,GPS and navigation technologies,Industrial control and automation software,Instant messaging software,Global Positioning System GPS devices,Computerised Numerical Control (CNC) machining centres,Unified messaging software,Certificate III in Furniture Removal,,,,,No minimum education,,,,
